id,tipo,cantidad,importe
325,GOLD,34,240.23
326,GOLD,36,937.05
327,REGULAR,35,824.38
328,GOLD,7,197.12
329,REGULAR,34,357.94
330,REGULAR,99,596.22
331,REGULAR,87,699.7
332,PLUS,16,690.28
333,GOLD,51,519.36
334,GOLD,12,252.73
335,REGULAR,68,969.51
336,REGULAR,95,193.46
337,GOLD,88,335.6
338,PLUS,94,912.77
339,GOLD,53,857.68
340,REGULAR,47,947.66
341,PLUS,56,429.08
342,GOLD,37,979.17
343,REGULAR,22,852.38
344,REGULAR,66,595.17
345,REGULAR,68,305.0
346,REGULAR,65,873.62
347,REGULAR,83,150.44
348,GOLD,1,777.62
349,GOLD,17,672.37
350,GOLD,4,493.98
351,GOLD,9,956.42
352,PLUS,80,509.72
353,REGULAR,22,552.29
354,REGULAR,33,254.92
355,REGULAR,68,947.95
356,REGULAR,67,492.87
357,GOLD,71,463.81
358,PLUS,10,177.75
359,GOLD,13,440.66
360,PLUS,14,840.83
361,GOLD,70,782.56
362,GOLD,26,494.1
363,REGULAR,34,724.31
364,GOLD,76,685.73
365,PLUS,75,566.47
366,GOLD,9,109.84
367,GOLD,9,592.16
368,REGULAR,50,989.98
369,GOLD,56,487.71
370,REGULAR,5,382.92
371,REGULAR,50,979.13
372,PLUS,15,847.93
373,REGULAR,89,228.82
374,REGULAR,82,349.6
375,PLUS,97,264.57
376,GOLD,78,588.29
377,GOLD,90,534.56
378,REGULAR,73,544.59
379,GOLD,53,402.5
380,PLUS,52,646.45
381,PLUS,52,722.51
382,PLUS,28,292.78
383,GOLD,30,352.32
384,PLUS,56,238.49
385,PLUS,29,257.47
386,REGULAR,5,815.95
387,GOLD,90,407.7
388,PLUS,63,241.9
389,GOLD,87,712.04
390,GOLD,73,955.81
391,GOLD,94,540.1
392,GOLD,67,335.92
393,REGULAR,25,584.89
394,GOLD,3,149.1
395,REGULAR,22,817.46
396,PLUS,79,820.23
397,PLUS,31,841.84
398,PLUS,37,734.89
399,GOLD,82,653.91
400,GOLD,42,359.68
401,GOLD,43,429.65
402,REGULAR,43,623.39
403,REGULAR,56,183.2
404,GOLD,56,746.37
405,GOLD,9,598.14
406,GOLD,3,251.47
407,GOLD,21,643.83
408,REGULAR,49,646.92
409,PLUS,90,455.2
410,REGULAR,99,557.19
411,PLUS,53,457.59
412,GOLD,56,393.97
413,GOLD,29,293.67
414,GOLD,97,615.86
415,REGULAR,73,285.43
416,PLUS,35,605.49
417,GOLD,61,746.69
418,PLUS,29,227.75
419,REGULAR,57,316.4
420,REGULAR,78,415.71
421,GOLD,54,472.69
422,REGULAR,79,360.25
423,GOLD,62,308.9
424,GOLD,44,453.7
425,GOLD,97,167.71
426,GOLD,38,343.05
427,REGULAR,52,336.85
428,PLUS,21,491.24
429,PLUS,62,453.63
430,PLUS,64,580.5
431,PLUS,31,697.35
432,GOLD,31,608.09
433,REGULAR,10,486.99
434,GOLD,35,697.64
435,GOLD,11,694.73
436,GOLD,79,977.95
437,PLUS,79,757.85
438,PLUS,87,136.46
439,REGULAR,38,417.01
440,REGULAR,17,756.91
441,PLUS,92,159.75
442,PLUS,13,844.75
443,GOLD,56,997.13
444,GOLD,76,935.76
445,REGULAR,68,831.22
446,PLUS,36,726.41
447,REGULAR,4,974.12
448,PLUS,33,628.95
449,REGULAR,45,629.99
450,REGULAR,55,814.11
451,REGULAR,32,380.75
452,GOLD,16,543.4
453,REGULAR,6,225.98
454,GOLD,94,818.94
455,GOLD,83,441.61
456,GOLD,23,814.66
457,PLUS,83,392.59
458,GOLD,61,410.77
459,PLUS,40,314.76
460,GOLD,54,585.69
461,REGULAR,81,793.9
462,PLUS,93,634.7
463,GOLD,24,755.8
464,REGULAR,76,491.53
465,REGULAR,2,900.83
466,PLUS,17,237.86
467,REGULAR,57,457.29
468,PLUS,9,114.89
469,PLUS,37,789.96
470,GOLD,15,655.89
471,REGULAR,29,359.52
472,PLUS,53,696.57
473,GOLD,84,214.84
474,PLUS,56,437.23
475,REGULAR,44,214.3
476,PLUS,1,821.78
477,REGULAR,30,255.35
478,PLUS,90,480.94
479,PLUS,77,122.51
480,REGULAR,79,822.82
481,GOLD,13,510.45
482,PLUS,87,315.19
483,PLUS,12,164.18
484,PLUS,16,196.2
485,PLUS,73,333.32
486,REGULAR,31,961.58
487,PLUS,79,625.65
488,REGULAR,78,261.23
489,GOLD,17,204.34
490,REGULAR,27,985.28
491,PLUS,55,944.37
492,PLUS,11,577.01
493,GOLD,41,953.99
494,GOLD,10,844.36
495,REGULAR,74,668.24
496,REGULAR,33,694.85
497,GOLD,79,150.91
498,GOLD,6,544.05
499,GOLD,22,835.52
500,REGULAR,96,112.29
501,GOLD,79,955.02
502,REGULAR,9,894.08
503,PLUS,94,823.11
504,GOLD,68,683.52
505,PLUS,65,875.29
506,GOLD,47,697.17
507,GOLD,58,218.53
508,PLUS,22,178.75
509,PLUS,31,842.32
510,GOLD,24,863.96
511,GOLD,16,912.59
512,GOLD,41,169.7
513,REGULAR,1,653.15
514,GOLD,64,976.24
515,GOLD,82,594.81
516,PLUS,90,867.82
517,REGULAR,1,946.39
518,GOLD,54,809.68
519,REGULAR,43,699.75
520,GOLD,53,979.61
521,PLUS,38,891.84
522,GOLD,45,753.18
523,REGULAR,45,322.16
524,PLUS,3,527.54
525,REGULAR,16,964.98
526,REGULAR,70,767.05
527,GOLD,46,342.24
528,PLUS,39,868.36
529,GOLD,9,399.1
530,GOLD,45,355.49
531,PLUS,81,369.33
532,PLUS,71,181.09
533,GOLD,64,929.88
534,PLUS,97,465.52
535,PLUS,35,721.04
536,PLUS,12,538.17
537,GOLD,72,215.23
538,GOLD,59,544.56
539,REGULAR,60,664.93
540,GOLD,11,935.5
541,PLUS,85,976.13
542,GOLD,96,488.33
543,REGULAR,100,178.72
544,PLUS,13,844.03
545,PLUS,10,978.29
546,PLUS,52,296.07
547,PLUS,5,211.09
548,GOLD,18,491.01
549,PLUS,34,113.12
550,GOLD,24,996.29
551,REGULAR,16,150.91
552,PLUS,54,960.37
553,GOLD,64,370.08
554,PLUS,90,480.04
555,REGULAR,36,819.41
556,PLUS,62,193.03
557,REGULAR,27,509.51
558,GOLD,44,384.35
559,GOLD,30,354.44
560,PLUS,65,315.78
561,REGULAR,38,367.28
562,REGULAR,33,899.5
563,PLUS,8,491.02
564,REGULAR,57,780.48
565,PLUS,84,771.97
566,GOLD,29,629.16
567,REGULAR,81,600.88
568,REGULAR,10,147.12
569,REGULAR,95,159.65
570,PLUS,43,411.64
571,GOLD,50,293.8
572,GOLD,99,858.07
573,GOLD,23,779.56
574,GOLD,95,259.21
575,REGULAR,20,337.35
576,REGULAR,4,513.01
577,REGULAR,26,421.42
578,PLUS,7,918.94
579,GOLD,40,627.92
580,PLUS,64,517.26
581,GOLD,88,364.36
582,GOLD,91,982.13
583,PLUS,90,562.98
584,GOLD,27,132.77
585,GOLD,86,467.79
586,GOLD,93,587.71
587,GOLD,98,332.51
588,PLUS,44,132.46
589,REGULAR,15,568.61
590,GOLD,35,589.09
591,GOLD,40,353.4
592,PLUS,69,272.15
593,PLUS,54,424.88
594,REGULAR,100,431.08
595,REGULAR,61,297.87
596,PLUS,21,114.81
597,GOLD,43,439.52
598,REGULAR,72,398.53
599,GOLD,89,831.73
600,GOLD,39,674.09
601,PLUS,99,907.81
602,GOLD,86,726.74
603,REGULAR,53,501.98
604,REGULAR,36,631.12
605,REGULAR,35,777.83
606,PLUS,51,601.93
607,PLUS,70,353.87
608,PLUS,76,569.43
609,REGULAR,78,954.48
610,REGULAR,89,166.21
611,GOLD,71,720.36
612,REGULAR,29,294.62
613,GOLD,95,490.52
614,REGULAR,2,394.76
615,PLUS,95,328.35
616,GOLD,17,755.04
617,PLUS,41,343.53
618,PLUS,98,997.4
619,GOLD,98,885.61
620,PLUS,36,209.46
621,REGULAR,40,787.39
622,REGULAR,65,832.42
623,REGULAR,40,773.11
624,GOLD,29,508.07
625,REGULAR,47,478.98
626,GOLD,49,357.69
627,PLUS,68,359.38
628,PLUS,11,429.48
629,GOLD,91,791.51
630,PLUS,27,187.11
631,REGULAR,95,888.35
632,REGULAR,19,519.87
633,PLUS,86,341.29
634,REGULAR,80,250.69
635,GOLD,23,698.35
636,PLUS,63,233.32
637,REGULAR,90,493.46
638,REGULAR,93,160.01
639,PLUS,10,548.41
640,GOLD,45,165.23
641,GOLD,14,436.65
642,PLUS,39,251.97
643,PLUS,57,764.54
644,PLUS,91,480.62
645,REGULAR,79,411.14
646,REGULAR,40,195.91
647,PLUS,46,176.68
648,GOLD,100,906.15
649,PLUS,10,956.61
650,PLUS,30,154.44
651,REGULAR,54,620.61
652,PLUS,88,491.24
653,PLUS,1,239.69
654,GOLD,92,716.01
655,REGULAR,94,348.27
656,PLUS,89,620.28
657,GOLD,79,970.62
658,REGULAR,26,641.35
659,GOLD,14,105.44
660,PLUS,60,377.32
661,REGULAR,30,972.88
662,PLUS,97,800.72
663,PLUS,58,331.28
664,PLUS,22,392.18
665,GOLD,14,490.53
666,REGULAR,60,537.67
667,REGULAR,61,890.18
668,PLUS,37,693.77
669,GOLD,95,156.66
670,GOLD,94,821.86
671,PLUS,21,777.28
672,GOLD,78,332.99
673,PLUS,57,595.42
674,PLUS,71,485.17
675,REGULAR,76,673.63
676,REGULAR,75,498.63
677,REGULAR,59,566.9
678,GOLD,94,193.98
679,GOLD,73,210.11
680,REGULAR,4,187.08
681,REGULAR,19,777.85
682,GOLD,90,444.26
683,REGULAR,25,651.02
684,REGULAR,92,668.68
685,GOLD,42,909.26
686,PLUS,79,806.03
687,GOLD,65,287.88
688,REGULAR,78,869.93
689,REGULAR,70,632.92
690,PLUS,23,329.28
691,REGULAR,44,325.97
692,GOLD,2,630.09
693,PLUS,6,147.89
694,GOLD,21,426.79
695,PLUS,62,269.14
696,PLUS,94,291.48
697,PLUS,24,503.38
698,REGULAR,5,132.34
699,REGULAR,17,909.46
700,GOLD,78,666.59
701,PLUS,23,595.08
702,PLUS,18,147.89
703,GOLD,21,499.85
704,PLUS,49,727.24
705,REGULAR,64,667.93
706,GOLD,90,452.03
707,REGULAR,13,729.16
708,PLUS,74,376.75
709,PLUS,70,727.36
710,PLUS,1,202.99
711,GOLD,35,112.85
712,REGULAR,14,569.57
713,GOLD,32,252.94
714,GOLD,44,391.2
715,REGULAR,15,247.43
716,REGULAR,14,145.64
717,PLUS,33,794.76
718,REGULAR,26,541.22
719,REGULAR,85,228.82
720,PLUS,43,855.79
721,REGULAR,37,429.61
722,GOLD,3,773.83
723,PLUS,83,735.8
724,PLUS,94,106.24
725,PLUS,23,785.73
726,GOLD,1,853.17
727,GOLD,35,849.01
728,REGULAR,71,139.49
729,PLUS,89,396.42
730,REGULAR,8,706.38
731,GOLD,82,105.87
732,REGULAR,19,891.53
733,REGULAR,78,407.36
734,GOLD,26,105.64
735,PLUS,12,168.51
736,REGULAR,49,519.15
737,REGULAR,54,405.08
738,REGULAR,55,536.26
739,REGULAR,1,685.28
740,PLUS,67,188.1
741,REGULAR,33,873.1
742,PLUS,56,466.67
743,GOLD,85,886.63
744,GOLD,74,478.12
745,REGULAR,13,187.25
746,REGULAR,57,393.32
747,GOLD,51,643.33
748,REGULAR,5,755.29
749,GOLD,73,701.48
750,PLUS,49,141.59
751,PLUS,55,723.46
752,REGULAR,44,155.86
753,GOLD,58,370.51
754,REGULAR,82,425.9
755,REGULAR,60,204.45
756,GOLD,81,363.02
757,PLUS,6,773.62
758,REGULAR,66,993.37
759,REGULAR,90,610.01
760,REGULAR,25,555.51
761,GOLD,50,982.0
762,PLUS,100,510.03
763,REGULAR,74,874.87
764,GOLD,27,139.1
765,REGULAR,62,920.81
766,GOLD,90,394.21
767,GOLD,57,261.52
768,PLUS,80,644.03
769,GOLD,95,438.62
770,PLUS,60,463.2
771,REGULAR,85,289.54
772,PLUS,5,875.66
773,GOLD,56,596.4
774,GOLD,72,896.99
775,GOLD,39,855.56
776,REGULAR,32,876.58
777,PLUS,69,975.46
778,REGULAR,56,885.03
779,REGULAR,53,672.93
780,REGULAR,51,125.84
781,GOLD,8,883.05
782,PLUS,100,878.75
783,PLUS,79,266.83
784,PLUS,45,590.51
785,PLUS,22,462.18
786,REGULAR,90,433.62
787,GOLD,83,797.5
788,REGULAR,83,673.96
789,REGULAR,55,624.34
790,GOLD,7,524.85
791,GOLD,45,261.37
792,PLUS,77,995.07
793,GOLD,77,915.94
794,GOLD,98,561.55
795,GOLD,8,479.48
796,REGULAR,14,158.42
797,PLUS,2,530.5
798,GOLD,55,248.23
799,GOLD,10,930.73
800,GOLD,70,528.77
801,REGULAR,62,565.65
802,REGULAR,71,265.16
803,PLUS,72,916.33
804,PLUS,75,403.63
805,REGULAR,23,631.07
806,REGULAR,63,890.9
807,REGULAR,29,262.17
808,REGULAR,16,113.04
809,GOLD,31,582.52
810,GOLD,48,508.52
811,PLUS,39,491.87
812,GOLD,20,790.87
813,GOLD,36,194.12
814,PLUS,7,167.04
815,PLUS,2,742.59
816,PLUS,94,978.75
817,GOLD,82,678.1
818,GOLD,74,861.62
819,GOLD,39,931.54
820,PLUS,94,801.17
821,PLUS,57,561.2
822,REGULAR,19,456.71
823,GOLD,85,458.98
824,GOLD,41,239.68
825,PLUS,70,255.66
826,REGULAR,9,677.22
827,REGULAR,15,764.92
828,PLUS,5,867.33
829,REGULAR,86,380.07
830,PLUS,17,619.83
831,PLUS,5,772.62
832,PLUS,76,736.06
833,PLUS,29,575.02
834,REGULAR,67,251.23
835,GOLD,58,945.7
836,REGULAR,6,873.55
837,PLUS,53,636.24
838,REGULAR,61,758.64
839,GOLD,70,462.67
840,REGULAR,13,541.31
841,REGULAR,21,741.79
842,GOLD,16,241.52
843,GOLD,17,255.98
844,REGULAR,37,228.16
845,PLUS,48,397.65
846,PLUS,75,364.98
847,REGULAR,79,215.32
848,GOLD,8,689.82
849,REGULAR,67,777.66
850,REGULAR,89,633.41
851,REGULAR,58,130.22
852,REGULAR,7,274.33
853,PLUS,35,513.61
854,GOLD,3,147.58
855,REGULAR,12,697.3
856,GOLD,76,217.23
857,GOLD,1,483.27
858,REGULAR,87,613.32
859,PLUS,69,467.26
860,GOLD,68,722.82
861,PLUS,1,222.4
862,PLUS,46,801.89
863,REGULAR,52,734.97
864,GOLD,43,128.65
865,REGULAR,91,926.3
866,REGULAR,41,178.42
867,PLUS,60,948.64
868,GOLD,92,387.06
869,GOLD,76,933.79
870,PLUS,15,231.29
871,REGULAR,42,997.32
872,PLUS,65,779.63
873,PLUS,71,646.93
874,REGULAR,15,395.94
875,REGULAR,77,429.79
876,PLUS,4,932.0
877,GOLD,46,984.02
878,GOLD,71,322.66
879,REGULAR,97,420.57
880,PLUS,55,835.78
881,PLUS,95,822.82
882,REGULAR,32,570.09
883,PLUS,13,795.87
884,REGULAR,59,651.45
885,REGULAR,3,851.27
886,REGULAR,51,886.16
887,GOLD,99,936.31
888,PLUS,1,146.81
889,GOLD,94,128.65
890,GOLD,59,451.48
891,GOLD,92,838.46
892,PLUS,64,950.41
893,PLUS,62,515.9
894,PLUS,6,716.18
895,REGULAR,37,211.15
896,REGULAR,46,135.83
897,REGULAR,94,355.53
898,PLUS,3,548.5
899,GOLD,74,805.94
900,GOLD,99,313.01
901,GOLD,40,579.45
902,REGULAR,78,237.53
903,REGULAR,85,577.53
904,GOLD,31,187.39
905,GOLD,36,904.69
906,GOLD,7,287.93
907,REGULAR,21,946.95
908,PLUS,15,319.51
909,PLUS,3,808.96
910,GOLD,36,415.02
911,REGULAR,73,566.8
912,PLUS,69,214.18
913,REGULAR,60,904.54
914,GOLD,99,180.43
915,GOLD,93,755.74
916,REGULAR,26,431.57
917,GOLD,20,663.75
918,PLUS,13,282.78
919,REGULAR,77,669.57
920,GOLD,98,818.57
921,PLUS,52,764.27
922,REGULAR,76,466.63
923,GOLD,33,930.32
924,PLUS,90,955.45
925,GOLD,5,690.5
926,REGULAR,38,417.34
927,REGULAR,15,473.35
928,REGULAR,32,971.6
929,REGULAR,43,917.6
930,PLUS,43,388.42
931,GOLD,26,877.58
932,GOLD,100,986.04
933,PLUS,71,787.73
934,GOLD,81,337.95
935,PLUS,36,716.09
936,GOLD,75,392.56
937,PLUS,56,313.3
938,PLUS,30,442.73
939,REGULAR,19,559.03
940,GOLD,48,109.5
941,GOLD,36,148.14
942,GOLD,23,633.06
943,PLUS,52,919.23
944,REGULAR,23,235.01
945,GOLD,26,152.98
946,GOLD,33,950.13
947,REGULAR,66,812.2
948,PLUS,28,711.23
949,PLUS,96,606.58
950,GOLD,96,249.58
951,PLUS,7,298.98
952,PLUS,31,962.77
953,REGULAR,83,625.64
954,PLUS,83,476.36
955,GOLD,91,421.27
956,GOLD,46,523.53
957,PLUS,17,172.98
958,PLUS,60,886.25
959,REGULAR,29,326.51
960,PLUS,38,533.51
961,REGULAR,94,857.57
962,GOLD,49,693.06
963,GOLD,46,219.31
964,PLUS,45,137.99
965,GOLD,61,769.81
966,GOLD,15,740.94
967,GOLD,25,150.26
968,GOLD,18,469.53
969,REGULAR,40,520.3
970,PLUS,85,300.85
971,PLUS,24,176.55
972,GOLD,90,909.2
973,PLUS,6,237.99
974,PLUS,14,471.8
975,REGULAR,96,360.76
976,PLUS,22,181.09
977,PLUS,10,624.05
978,GOLD,14,812.96
979,GOLD,32,851.15
980,REGULAR,84,379.33
981,GOLD,70,644.0
982,REGULAR,50,785.34
983,GOLD,17,343.38
984,GOLD,83,450.01
985,GOLD,20,948.63
986,GOLD,67,386.88
987,GOLD,91,555.11
988,REGULAR,6,735.91
989,REGULAR,22,342.32
990,GOLD,24,635.69
991,REGULAR,44,245.64
992,REGULAR,27,839.23
993,REGULAR,42,168.62
994,REGULAR,70,782.96
995,GOLD,20,953.87
996,GOLD,94,667.23
997,GOLD,41,296.11
998,PLUS,15,890.14
999,PLUS,27,218.74
1000,GOLD,45,229.42
