ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado
115,12/07/2018,17424,4,SI
116,30/01/2019,48914,2,SI
117,20/05/2019,20555,3,SI
118,04/12/2018,13407,5,SI
119,19/10/2018,43674,3,SI
120,01/05/2019,26010,3,SI
121,03/01/2019,45401,2,NO
122,03/06/2019,35152,1,SI
123,19/03/2019,8789,4,NO
124,25/06/2019,30947,4,SI
125,20/04/2019,35993,3,NO
126,23/07/2018,3059,3,SI
127,11/12/2018,46688,2,NO
128,15/03/2019,33357,2,NO
129,24/02/2019,36882,3,SI
130,03/05/2019,41135,5,SI
131,17/10/2018,17415,2,NO
132,31/07/2018,6542,1,NO
133,19/12/2018,26424,2,SI
134,03/01/2019,6458,4,NO
135,28/12/2018,3626,1,NO
136,16/02/2019,41789,5,NO
137,06/08/2018,32469,2,NO
138,20/03/2019,31596,4,NO
139,24/07/2018,34868,3,NO
140,10/04/2019,3346,3,NO
141,08/07/2018,18334,5,SI
142,15/05/2019,10646,4,SI
143,25/01/2019,38764,4,NO
144,02/03/2019,36585,5,NO
145,30/06/2019,40997,5,NO
146,09/01/2019,31785,1,SI
147,12/03/2019,21651,4,NO
148,18/02/2019,37061,3,SI
149,04/05/2019,6830,3,SI
150,27/04/2019,22532,4,NO
151,14/06/2019,38827,4,SI
152,04/06/2019,37797,2,NO
153,28/04/2019,11256,4,NO
154,26/08/2018,21975,3,SI
155,25/08/2018,43298,4,SI
156,14/04/2019,42523,2,SI
157,11/12/2018,28188,5,SI
158,14/03/2019,9077,3,NO
159,08/06/2019,49715,5,SI
160,01/12/2018,26279,2,NO
161,02/12/2018,39024,1,SI
162,10/06/2019,32147,3,SI
163,28/11/2018,25783,1,SI
164,25/08/2018,12033,5,NO
165,28/07/2018,3386,2,SI
166,12/02/2019,29439,2,SI
167,05/08/2018,48747,4,NO
168,18/01/2019,29237,5,SI
169,14/07/2018,10574,3,NO
170,15/08/2018,35776,1,NO
171,11/12/2018,15478,3,NO
172,25/08/2018,18803,1,NO
173,26/07/2018,47586,3,SI
174,15/01/2019,28266,4,NO
175,07/11/2018,41604,4,NO
176,09/12/2018,36141,2,NO
177,18/04/2019,12059,4,SI
178,13/02/2019,6853,5,NO
179,19/11/2018,17131,4,SI
180,08/09/2018,6820,3,SI
181,24/10/2018,22619,2,SI
182,30/06/2019,28719,3,NO
183,14/02/2019,24225,5,SI
184,07/07/2019,35023,1,NO
185,13/03/2019,17129,1,NO
186,28/09/2018,44719,1,NO
187,24/12/2018,40862,4,SI
188,29/11/2018,38864,4,SI
189,15/04/2019,7259,3,SI
190,28/08/2018,12490,1,SI
191,10/06/2019,6250,4,NO
192,16/03/2019,46168,4,SI
193,06/12/2018,36382,5,SI
194,12/11/2018,21314,2,SI
195,07/08/2018,36640,2,NO
196,02/09/2018,29966,5,SI
197,15/09/2018,49389,5,NO
198,07/02/2019,22622,4,NO
199,31/05/2019,37019,5,NO
200,28/06/2019,32594,1,SI
201,03/11/2018,29462,3,SI
202,24/04/2019,13997,1,NO
203,26/05/2019,26625,1,SI
204,23/07/2018,9300,4,SI
205,11/06/2019,21500,1,NO
206,04/08/2018,11587,5,SI
207,16/05/2019,21371,5,NO
208,24/08/2018,4505,5,NO
209,27/07/2018,7128,5,NO
210,04/08/2018,20466,4,SI
211,03/09/2018,35243,4,NO
212,28/02/2019,9508,1,NO
213,16/03/2019,24867,3,NO
214,27/11/2018,44828,5,NO
215,29/12/2018,31902,2,SI
216,08/05/2019,7047,1,SI
217,27/08/2018,31452,4,NO
218,06/06/2019,21540,4,NO
219,01/03/2019,33823,4,SI
220,22/08/2018,25400,1,NO
221,17/08/2018,7559,2,NO
222,13/04/2019,5176,2,SI
223,12/11/2018,45760,3,SI
224,13/09/2018,40484,1,SI
225,06/10/2018,22912,4,SI
226,15/12/2018,29622,4,NO
227,17/06/2019,10264,5,NO
228,14/06/2019,23042,5,NO
229,16/10/2018,14012,3,NO
230,16/05/2019,28775,4,SI
231,25/04/2019,16295,2,NO
232,05/03/2019,39692,4,NO
233,01/11/2018,24761,5,SI
234,22/11/2018,40376,5,SI
235,20/03/2019,8954,3,SI
236,30/10/2018,13209,4,NO
237,08/05/2019,30535,4,SI
238,08/02/2019,32583,2,SI
239,28/12/2018,5991,3,SI
240,11/11/2018,49339,4,SI
241,25/09/2018,28468,2,SI
242,11/01/2019,11520,4,NO
243,05/06/2019,12355,1,NO
244,02/09/2018,22753,2,NO
245,11/09/2018,33430,1,NO
246,13/01/2019,31088,2,NO
247,21/09/2018,11385,1,SI
248,05/04/2019,24059,3,NO
249,18/01/2019,30973,4,SI
250,14/04/2019,19460,2,NO
251,13/06/2019,8401,1,SI
252,04/12/2018,19988,5,NO
253,24/07/2018,16031,3,NO
254,12/08/2018,32634,1,NO
255,27/02/2019,5958,2,SI
256,28/05/2019,9042,5,NO
257,21/08/2018,38467,2,SI
258,31/10/2018,31821,1,NO
259,01/03/2019,28027,3,SI
260,14/10/2018,25606,5,SI
261,16/07/2018,20893,5,NO
262,29/09/2018,49473,2,NO
263,16/01/2019,3968,4,SI
264,28/05/2019,42908,4,NO
265,07/02/2019,16205,2,SI
266,15/06/2019,43109,3,SI
267,05/08/2018,12886,4,SI
268,25/10/2018,39979,2,NO
269,10/06/2019,19225,1,SI
270,10/01/2019,35319,5,NO
271,12/07/2018,14853,1,NO
272,03/09/2018,32589,3,NO
273,16/09/2018,14293,3,SI
274,18/06/2019,47185,1,SI
275,28/08/2018,30595,5,SI
276,16/10/2018,15555,5,NO
277,28/05/2019,22664,1,SI
278,26/06/2019,19200,2,NO
279,17/10/2018,33258,2,SI
280,12/10/2018,39158,1,NO
281,27/07/2018,15661,4,SI
282,05/02/2019,19307,5,SI
283,25/06/2019,48004,2,NO
284,19/02/2019,45973,5,SI
285,08/04/2019,11501,5,NO
286,29/08/2018,28406,4,SI
287,05/11/2018,21630,2,NO
288,19/10/2018,8457,2,NO
289,03/02/2019,46622,1,SI
290,24/07/2018,46384,5,NO
291,12/01/2019,5618,2,NO
292,11/03/2019,24968,1,NO
293,18/07/2018,47675,2,NO
294,25/10/2018,37780,5,NO
295,25/10/2018,7826,2,SI
296,07/01/2019,38098,4,SI
297,13/07/2018,11368,5,SI
298,09/05/2019,41241,3,SI
299,22/12/2018,38376,1,NO
300,21/05/2019,28326,2,SI
301,31/12/2018,45640,1,SI
302,14/09/2018,23958,4,NO
303,13/04/2019,32771,3,NO
304,14/01/2019,46585,1,SI
305,14/03/2019,12104,2,SI
306,09/01/2019,7225,5,SI
307,16/08/2018,13828,2,NO
308,23/01/2019,25839,2,SI
309,11/03/2019,45570,2,NO
310,19/09/2018,45074,3,SI
311,16/08/2018,17854,4,NO
312,29/10/2018,6998,2,NO
313,03/11/2018,36995,5,NO
314,29/01/2019,23655,5,SI
315,21/07/2018,39003,4,NO
316,30/01/2019,25865,1,SI
317,12/06/2019,8601,5,NO
318,26/07/2018,19341,4,NO
319,14/05/2019,36489,5,NO
320,18/10/2018,32384,4,SI
321,07/12/2018,15501,3,SI
322,19/02/2019,31777,5,NO
323,18/04/2019,24252,1,SI
324,28/04/2019,24090,1,SI
325,05/02/2019,14143,3,SI
326,29/04/2019,37054,1,SI
327,14/05/2019,22281,2,NO
328,26/02/2019,26490,3,SI
329,07/05/2019,33960,3,NO
330,06/08/2018,4993,4,SI
331,11/06/2019,39728,2,SI
332,23/08/2018,33367,2,SI
333,07/10/2018,20655,5,NO
334,28/11/2018,27522,2,NO
335,12/02/2019,12132,2,NO
336,13/12/2018,31358,2,SI
337,16/12/2018,5783,1,NO
338,11/11/2018,30517,1,NO
339,05/08/2018,18302,4,SI
340,10/02/2019,5121,2,NO
341,02/05/2019,5417,3,SI
342,29/12/2018,19258,3,NO
343,19/03/2019,48479,1,SI
344,14/02/2019,41508,3,NO
345,10/01/2019,24200,1,SI
346,01/12/2018,40636,1,SI
347,03/06/2019,28549,1,NO
348,14/07/2018,45620,1,SI
349,14/06/2019,14169,1,SI
350,03/04/2019,13624,4,NO
351,31/07/2018,22754,3,SI
352,27/10/2018,19495,2,SI
353,23/08/2018,23520,5,SI
354,13/07/2018,27511,3,SI
355,03/10/2018,23921,1,SI
356,01/10/2018,31303,4,NO
357,13/08/2018,27378,2,NO
358,08/12/2018,42663,5,SI
359,12/09/2018,19581,5,SI
360,06/06/2019,48633,2,NO
361,19/01/2019,37127,2,SI
362,13/06/2019,42116,1,SI
363,23/08/2018,13241,2,NO
364,12/10/2018,8610,5,NO
365,26/07/2018,4453,2,SI
366,03/08/2018,49658,3,NO
367,01/06/2019,7522,1,SI
368,19/08/2018,9613,4,SI
369,15/03/2019,48676,3,NO
370,18/02/2019,32721,5,SI
371,04/12/2018,39100,5,NO
372,12/07/2018,40257,2,NO
373,23/06/2019,20861,2,SI
374,12/12/2018,3276,1,NO
375,29/03/2019,8051,4,SI
376,31/01/2019,41281,3,SI
377,08/01/2019,34825,5,SI
378,10/03/2019,43850,1,SI
379,26/10/2018,7068,1,NO
380,06/03/2019,15893,5,SI
381,24/10/2018,41652,1,NO
382,31/10/2018,40060,1,SI
383,23/04/2019,27824,1,NO
384,04/09/2018,43051,2,NO
385,23/07/2018,40748,3,NO
386,27/03/2019,5060,5,SI
387,16/10/2018,3177,2,NO
388,12/10/2018,48037,1,NO
389,28/10/2018,28171,3,SI
390,21/02/2019,41016,1,NO
391,04/11/2018,25077,5,NO
392,06/10/2018,49383,5,SI
393,25/07/2018,12802,4,SI
394,23/01/2019,28863,1,SI
395,07/06/2019,20041,4,SI
396,29/09/2018,42147,1,NO
397,20/09/2018,37834,2,NO
398,11/07/2018,25061,4,NO
399,09/11/2018,18680,2,NO
400,01/11/2018,19401,3,NO
401,13/06/2019,8226,4,NO
402,02/04/2019,37564,5,NO
403,28/08/2018,25459,5,SI
404,12/05/2019,27938,4,NO
405,02/04/2019,41830,4,NO
406,31/08/2018,48214,1,SI
407,16/01/2019,18951,3,SI
408,06/06/2019,28925,1,NO
409,19/08/2018,34671,4,SI
410,04/01/2019,9088,1,SI
411,01/10/2018,45359,3,NO
412,10/09/2018,30568,2,NO
413,10/07/2018,25606,4,NO
414,10/08/2018,3220,1,SI
415,24/01/2019,31718,3,SI
416,09/03/2019,30412,5,SI
417,05/12/2018,6835,1,SI
418,10/04/2019,28700,4,SI
419,19/08/2018,47824,2,NO
420,26/07/2018,28833,2,NO
421,14/06/2019,48912,2,SI
422,03/01/2019,11335,2,SI
423,01/11/2018,20705,4,NO
424,04/10/2018,8563,2,NO
425,26/10/2018,23213,5,SI
426,17/03/2019,23929,2,NO
427,29/05/2019,14195,2,NO
428,01/01/2019,12081,4,NO
429,13/11/2018,41359,1,SI
430,03/06/2019,25346,5,SI
431,26/08/2018,21731,3,SI
432,23/07/2018,43405,2,SI
433,14/10/2018,12620,1,NO
434,27/05/2019,31476,5,NO
435,03/03/2019,10523,4,NO
436,03/12/2018,11256,2,NO
437,31/03/2019,3969,4,SI
438,16/01/2019,44591,4,SI
439,25/10/2018,33096,1,NO
440,30/09/2018,25321,2,SI
441,23/05/2019,14790,2,NO
442,14/09/2018,17369,2,NO
443,17/12/2018,28414,1,SI
444,25/04/2019,3141,3,SI
445,31/10/2018,11116,3,SI
446,19/11/2018,26287,5,SI
447,22/09/2018,21955,3,SI
448,04/02/2019,9676,1,SI
449,29/04/2019,40778,1,NO
450,27/07/2018,4034,5,NO
451,10/02/2019,30313,2,SI
452,29/06/2019,26787,2,SI
453,13/11/2018,6984,1,NO
454,22/11/2018,10634,3,NO
455,16/11/2018,20246,1,SI
456,21/08/2018,6401,1,SI
457,07/02/2019,41264,1,SI
458,15/06/2019,37663,1,NO
459,19/01/2019,28299,3,SI
460,30/04/2019,38367,5,NO
461,02/11/2018,23283,3,NO
462,25/02/2019,40555,2,SI
463,31/08/2018,46235,4,SI
464,02/03/2019,46993,1,NO
465,26/10/2018,45252,3,SI
466,16/01/2019,4406,4,NO
467,28/09/2018,12695,2,NO
468,11/12/2018,42620,3,SI
469,23/10/2018,25963,2,SI
470,27/07/2018,35941,1,SI
471,10/03/2019,15403,2,SI
472,11/04/2019,17880,1,NO
473,31/03/2019,35316,2,SI
474,06/04/2019,23449,2,SI
475,19/10/2018,29494,1,NO
476,06/10/2018,36132,3,NO
477,22/09/2018,41181,4,NO
478,18/06/2019,35468,4,NO
479,05/12/2018,5572,3,NO
480,11/12/2018,19309,3,SI
481,13/07/2018,34409,1,NO
482,24/04/2019,37535,5,NO
483,29/06/2019,5361,1,SI
484,18/07/2018,7372,3,NO
485,03/07/2019,27765,5,NO
486,04/11/2018,19265,2,NO
487,16/03/2019,14243,2,SI
488,14/04/2019,49965,1,SI
489,22/02/2019,28604,2,SI
490,06/08/2018,15442,4,SI
491,04/02/2019,46132,2,NO
492,12/01/2019,28822,1,NO
493,10/02/2019,6021,2,SI
494,09/03/2019,21517,2,SI
495,03/09/2018,35774,2,SI
496,12/02/2019,26883,2,NO
497,20/05/2019,24861,4,SI
498,21/11/2018,30260,2,NO
499,27/04/2019,27565,5,SI
500,18/02/2019,4569,3,SI
